vehicle_id,latitude,longitude,speed,heading,pinged_at
1,6.92710000,79.86120000,45.50,180.00,2026-05-03 12:00:00
1,6.93010000,79.86420000,52.30,185.00,2026-05-03 11:30:00
1,6.93310000,79.86720000,38.75,190.00,2026-05-03 11:00:00
1,6.93610000,79.87020000,41.20,175.00,2026-05-03 10:30:00
1,6.93910000,79.87320000,55.80,195.00,2026-05-03 10:00:00
2,7.29060000,80.63370000,33.45,90.00,2026-05-03 12:00:00
2,7.29360000,80.63670000,47.15,85.00,2026-05-03 11:30:00
2,7.29660000,80.63970000,29.80,95.00,2026-05-03 11:00:00
2,7.29960000,80.64270000,51.25,88.00,2026-05-03 10:30:00
2,7.30260000,80.64570000,36.90,92.00,2026-05-03 10:00:00
3,6.05690000,80.22080000,42.10,270.00,2026-05-03 12:00:00
3,6.05990000,80.22380000,38.65,275.00,2026-05-03 11:30:00
3,6.06290000,80.22680000,45.30,265.00,2026-05-03 11:00:00
3,6.06590000,80.22980000,33.95,280.00,2026-05-03 10:30:00
3,6.06890000,80.23280000,48.70,272.00,2026-05-03 10:00:00
4,7.87310000,80.77180000,50.25,0.00,2026-05-03 12:00:00
4,7.87610000,80.77480000,44.80,5.00,2026-05-03 11:30:00
4,7.87910000,80.77780000,37.15,355.00,2026-05-03 11:00:00
4,7.88210000,80.78080000,52.40,10.00,2026-05-03 10:30:00
4,7.88510000,80.78380000,39.60,2.00,2026-05-03 10:00:00
5,7.46550000,80.62040000,46.75,135.00,2026-05-03 12:00:00
5,7.46850000,80.62340000,41.20,140.00,2026-05-03 11:30:00
5,7.47150000,80.62640000,35.85,130.00,2026-05-03 11:00:00
5,7.47450000,80.62940000,48.30,138.00,2026-05-03 10:30:00
5,7.47750000,80.63240000,43.15,142.00,2026-05-03 10:00:00
6,6.94810000,80.78630000,31.40,45.00,2026-05-03 12:00:00
6,6.95110000,80.78930000,38.95,40.00,2026-05-03 11:30:00
6,6.95410000,80.79230000,43.60,50.00,2026-05-03 11:00:00
6,6.95710000,80.79530000,36.25,42.00,2026-05-03 10:30:00
6,6.96010000,80.79830000,47.80,48.00,2026-05-03 10:00:00
7,6.03290000,80.21730000,54.15,225.00,2026-05-03 12:00:00
7,6.03590000,80.22030000,49.70,220.00,2026-05-03 11:30:00
7,6.03890000,80.22330000,41.85,230.00,2026-05-03 11:00:00
7,6.04190000,80.22630000,46.40,218.00,2026-05-03 10:30:00
7,6.04490000,80.22930000,52.95,232.00,2026-05-03 10:00:00
8,5.54830000,80.55380000,37.80,315.00,2026-05-03 12:00:00
8,5.55130000,80.55680000,42.35,310.00,2026-05-03 11:30:00
8,5.55430000,80.55980000,39.10,320.00,2026-05-03 11:00:00
8,5.55730000,80.56280000,45.65,312.00,2026-05-03 10:30:00
8,5.56030000,80.56580000,40.20,318.00,2026-05-03 10:00:00
9,5.94520000,80.78810000,48.55,180.00,2026-05-03 12:00:00
9,5.94820000,80.79110000,44.10,175.00,2026-05-03 11:30:00
9,5.95120000,80.79410000,51.25,185.00,2026-05-03 11:00:00
9,5.95420000,80.79710000,38.90,178.00,2026-05-03 10:30:00
9,5.95720000,80.80010000,46.75,182.00,2026-05-03 10:00:00
10,9.66150000,80.02560000,33.25,90.00,2026-05-03 12:00:00
10,9.66450000,80.02860000,47.80,85.00,2026-05-03 11:30:00
10,9.66750000,80.03160000,35.45,95.00,2026-05-03 11:00:00
10,9.67050000,80.03460000,41.10,88.00,2026-05-03 10:30:00
10,9.67350000,80.03760000,38.65,92.00,2026-05-03 10:00:00
