name,district
Colombo Central Police Station,Colombo
Dehiwala Police Station,Colombo
Moratuwa Police Station,Colombo
Gampaha Police Station,Gampaha
Negombo Police Station,Gampaha
Kalutara Police Station,Kalutara
Kandy Central Police Station,Kandy
Peradeniya Police Station,Kandy
Matale Police Station,Matale
Nuwara Eliya Police Station,Nuwara Eliya
Galle Fort Police Station,Galle
Matara Police Station,Matara
Hambantota Police Station,Hambantota
Jaffna Police Station,Jaffna
Vavuniya Police Station,Vavuniya
Batticaloa Police Station,Batticaloa
Trincomalee Police Station,Trincomalee
Ampara Police Station,Ampara
Kurunegala Police Station,Kurunegala
Anuradhapura Police Station,Anuradhapura
Polonnaruwa Police Station,Polonnaruwa
Badulla Police Station,Badulla
Ratnapura Police Station,Ratnapura
Kegalle Police Station,Kegalle
Puttalam Police Station,Puttalam
